ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
1;Maurice van der Sluijs;Maurice;van der Sluijs;14-6-1995;23,71932117;23;23 jaar;Medemblik;Noord-Holland;man;;;;;3;2,11
2;Rudy de Winter;Rudy;de Winter;6-11-1996;22,31797705;22;22 jaar;Rotterdam;Zuid-Holland;man;Ongehuwd;Mbo4;1;111 Medewerkers persoonlijke dienstve...;0;3,74
3;Kimberly  Antonisse;Kimberly;Antonisse;15-7-1968;50,65168218;50;50 jaar;Woudrichem;Noord-Brabant;;Ongehuwd;Hbo-, wo-bachelor;;;2;13,7
4;Alexandra van Ee;Alexandra;van Ee;8-5-1946;72,85226065;72;72 jaar;Roosendaal;Noord-Brabant;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;1,64
5;Berend  Claassen;Berend;Claassen;28-1-1961;58,11695255;58;58 jaar;Almere;Flevoland;man;Gehuwd;;;;2;2,42
6;Marielle  Bout;Marielle;Bout;16-1-1995;24,1268499;24;24 jaar;Midden-Groningen;Groningen;vrouw;Ongehuwd;Hbo-, wo-bachelor;0;;0;5,06
7;Jessica  Kuiper;Jessica;Kuiper;7-11-1978;40,32876864;40;40 jaar;Hellendoorn;Overijssel;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;041 Specialisten bedrijfsbeheer en ad.;0;0,54
8;Elisabeth  Evers;Elisabeth;Evers;9-7-1959;59,67406122;59;59 jaar;Purmerend;Noord-Holland;;Ongehuwd;;1;043 Administratief personeel;2;6,14
9;Ylona  Mazereeuw;Ylona;Mazereeuw;15-6-1971;47,73420626;47;47 jaar;Heemskerk;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;111 Medewerkers persoonlijke dienstve...;0;13,4
10;Jamie  Hiemstra;Jamie;Hiemstra;29-9-1952;66,45220347;66;66 jaar;Haarlem;Noord-Holland;man;Gehuwd;Hbo-, wo-master, doctor;1;102 Specialisten op maatschappelijk g...;0;2,47
